sequence,label,command,pending count,ebilling count,csh count,total count,sessions
d+cNZNTO]C@*Cc<,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes']",1,0,5,6,"['6c72c4639457', '7939469d99bb', 'b64b3c76eace', '412256719694', 'f040bff368f2', 'b495536bee3d']"
d+cN!TO]C@*,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity""]",1,0,0,1,['e25f488974eb']
+cN!TO]C@*Cc<CCMK9,0,"['Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1,['abc92e2d05d7']
d+cN!TO]C@*Cc<C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info']",0,0,1,1,['1c48ee2740f5']
d+cNZNTO]C@*C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info']",2,1,9,12,"['fd65815419fd', '3e0b866e8608', '82910cde0bd1', '73ce14ddd1a9', '6a6c52b61fb3', '337a6ff37c69', 'd2b0cb8bce31', '0f7e71b318c7', 'bec2fb655c0d', '121f301c3acd', 'c97235e5b7e2', 'f97b0593026a']"
d+cN,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password']",1,0,0,1,['59892e0d79a3']
d+cN!T,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info']",1,0,1,2,"['568b684ff02b', '3a7882741182']"
d+cNZ,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt']",0,1,8,9,"['5959f94a8da7', '7d87e4cb5a15', '22dfe750e641', 'dba1fa96b15f', 'cad0e6749d21', 'a021daff40d9', 'ae546f4b929f', 'fe09a7124480', '38f789036659']"
d+cN!TO,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info']",0,0,1,1,['867bca88fec6']
d+cNZNTO,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info']",2,0,13,15,"['c5c8a2bed3c4', '6bdbcd892706', '31521a6305a6', '94c3a9c30ad8', '9d5d1f19bbcc', '09ddf5a23cd3', 'de175531668d', '75985197e084', '8370005ecd92', '0d5a4ba86fca', '0013f8ab3fa6', 'd5ce117c7d71', '75dfbf4ae3ea', '2936a88f4440', '445c52a44ade']"
#NAME?,0,"['Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'Get memery info']",1,0,0,1,['4260849937c8']
d+cNZNT,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info']",1,0,7,8,"['5b525ec76b2f', 'c14eed4cdcad', '09a86704bf3b', 'ac7737d74384', 'b41ce34adfb2', '5e3e69624a70', 'bfc5c2b39d06', '2f35677c5938']"
d+cN!,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features']",0,0,1,1,['31d1d4f10d09']
d+cNZN,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password']",1,0,12,13,"['927a4a8df224', '6d19da73482d', '65d66817adb6', 'a340bae1466a', '0d65f5cd9e07', '6ebac1ea22c7', '434f63b1ec1d', 'f213b033357a', 'd0a05cc360bd', 'f98ae5a9891b', '2e30e05b76dd', '68f9905cada1', '1d2d752da410']"
d+c,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts']",4,0,11,15,"['0f451477ebfe', '083876a20661', '56ea257586ea', '6f6110555bf6', 'f3e28dd07437', '42fb0d4808ff', '0afd3f44d37f', 'ecf5555905c2', 'fd444d948954', 'c83be4108d08', 'c2f749854f45', 'ed5148dabec4', '06d1b2ad9657', '0974d2693435', '6a9c418a842d']"
