sequence,label,command,pending count,ebilling count,csh count,total count
+cNZNTO]C@*Cc<CCMK9,0,"['Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,1,2
d+cNZNTO]C@*CcCCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,1,0,2
d+cN!TO]C@,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process']",1,0,4,5
d+cNZNTO]C@*Cc<CMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cNZNTO]C@*Cc<C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info']",0,1,9,10
d+cN!TO]C@*Cc<CCM9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get file system size']",1,0,0,1
d+cN!TO]C@*Cc<,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes']",0,0,1,1
d+cNZ]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",0,1,0,1
d+cZNTO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",2,0,0,2
d+cNZNTO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",2909,1535,1368,5812
d+cN!TO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",988,206,300,1494
d+c@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cN!TO]C@*C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info']",0,0,1,1
d+cNZNTO]@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,2,0,3
d+cNZNTO]C@*Cc<CCM,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username']",1,0,3,4
d+cN!TO]C@*Cc,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts']",0,0,4,4
d+cNZTO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",0,0,1,1
d+cNZNTO]C@*Cc<CCMK,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model']",0,2,11,13
d+cN!TO]C@*CcCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",0,1,0,1
d+cN!TO]C@*Cc<CC,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info']",0,1,1,2
d+cNZNO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cNTO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",2,0,0,2
d+cNZNTO@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cNZNTO]C@*Cc,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts']",1,0,9,10
d+cNZNTO]C@*Cc<MK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get current username', 'Get CPU model', 'Get file system size']",0,2,0,2
d+c!TO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",0,0,1,1
d+cN!TO]C@*Cc<CMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",2,0,1,3
d+cNZNTO]C@,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process']",1,0,7,8
dcNZNTO]C@*Cc<CCMK9,0,"['Lock SSH directory', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cN!TO]C@*Cc<CCMK,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model']",0,0,1,1
d+cNZN@*Cc<CCK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cNZN@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cNZNTO]C@*Cc<,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes']",1,0,5,6
d+cN!TO]C@*,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity""]",1,0,0,1
+cN!TO]C@*Cc<CCMK9,0,"['Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1
d+cN!TO]C@*Cc<C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info']",0,0,1,1
d+cNZNTO]C@*C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info']",2,1,9,12
d+cN,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password']",1,0,0,1
d+cN!T,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info']",1,0,1,2
d+cNZ,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt']",0,1,8,9
d+cN!TO,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info']",0,0,1,1
d+cNZNTO,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info']",2,0,13,15
#NAME?,0,"['Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'Get memery info']",1,0,0,1
d+cNZNT,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info']",1,0,7,8
d+cN!,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features']",0,0,1,1
d+cNZN,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password']",1,0,12,13
d+c,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts']",4,0,11,15
d+,0,"['Lock SSH directory', 'Save SSH key']",627,678,109,1414
IfF,1,"['download executable, execute, remove, clear history', 'execute', 'Check for gcc.pid']",3,3,0,6
IF,1,"['download executable, execute, remove, clear history', 'Check for gcc.pid']",0,1,0,1
"PGLL&RYB,S",3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'Get mounted filesystem, busybox token', 'Copy an executable file to .s', 'Check for tftp and wget, busybox token', 'Read .s file', 'busybox token', 'remove .s, exit']",6,0,1,7
"PGLL&RYB,",3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'Get mounted filesystem, busybox token', 'Copy an executable file to .s', 'Check for tftp and wget, busybox token', 'Read .s file', 'busybox token']",3,0,0,3
"PGLL&RYB,0",3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'Get mounted filesystem, busybox token', 'Copy an executable file to .s', 'Check for tftp and wget, busybox token', 'Read .s file', 'busybox token', 'remove .s, tftp to remote host, execute, exit']",0,0,1,1
PGLL[C,3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'ping and spawn a shell', 'Get system info']",3,0,0,3
PGLL[H,3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'ping and spawn a shell', 'get system info']",11,0,3,14
PGLL[,3,"['enable shell builtin commands', 'System info', 'spawn new shell', 'spawn new shell', 'ping and spawn a shell']",24,0,0,24
2>2D,5,"['download executable', 'write executable on the fly', 'download executable', 'broken string']",1,1,0,2
%P:GfLL>,7,"['command: start', 'enable shell builtin commands', 'config terminal', 'System info', 'execute', 'spawn new shell', 'spawn new shell', 'write executable on the fly']",1,0,0,1
%P:,7,"['command: start', 'enable shell builtin commands', 'config terminal']",1,0,0,1
